surf   dx(nm)  dy(nm)  dz(nm) dn(1e-6) dpl(nm) dcumopl
  M1     0.00   -0.00   -0.00     0.00   -0.13   -0.13
  M2    -0.02   -0.01    0.05     0.00   -0.06   -0.19
  M3    -0.06   -0.02   -0.00     0.00   -0.06   -0.24
  L1     0.01    0.01   -0.13     0.00    0.14   -0.10
 L1E   -34.76  -15.67   -0.59     3.24   -8.11  257.71
  L2    -6.84  -20.05    0.28     0.00    7.19  264.89
 L2E   -21.79  -26.05    1.61     3.24   -4.86  364.10
   F    35.10   11.97   -1.08     0.00   25.08  389.17
  FE    27.54    9.23   -1.05     3.24   -1.80  439.14
  L3    37.53   15.77   -2.74     0.00    5.53  444.67
 L3E    11.29    5.54    0.51     3.24   -9.04  592.13
   D     6.56    2.53    0.28     0.00   -1.38  590.75
  EP  -364.41 -243.67 -129.09     0.00   -3.11  587.64
