surf   dx(nm)  dy(nm)  dz(nm) dn(1e-6) dpl(nm) dcumopl
  M1     0.00   -0.00   -0.00     0.00   -0.13   -0.13
  M2  -226.22  -98.16  549.59     0.00 -602.38 -602.51
  M3  -670.48 -299.93 -111.20     0.00 -669.53 -1272.04
  L1  -325.83 -142.39  -10.07     0.00   22.64 -1249.40
 L1E  -353.14 -154.61   -4.70     3.24  -11.95 -997.17
  L2  -270.76 -134.65    0.41     0.00   22.31 -974.86
 L2E  -285.05 -140.14   11.43     3.24  -14.14 -889.15
   F  -200.63  -89.39    8.68     0.00   35.35 -853.80
  FE  -207.22  -91.68    8.85     3.24   -1.70 -803.69
  L3  -195.73  -84.23   16.26     0.00   -2.45 -806.14
 L3E  -213.70  -91.16   -3.87     3.24   15.68 -622.74
   D  -215.91  -92.93    0.41     0.00   -4.87 -627.61
  EP  -271.27 -197.75  -92.92     0.00   63.70 -563.91
